PartitionKey,PeriodKey,SchemaFamilyKey,PartitionStatus,ReconciliationStatus,AvailableFlag,ExclusionReason,DiagnosisCodeEra,LengthOfStayAvailability,SourceClass,DisclosureClass
PT20213,20213,SF4,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20214,20214,SF4,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20221,20221,SF4,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20222,20222,SF4,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20223,20223,SF4,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20224,20224,SF4,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20231,20231,SF5,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20232,20232,SF5,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20233,20233,SF5,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20234,20234,SF5,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20241,20241,SF5,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20242,20242,SF5,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20243,20243,SF5,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20244,20244,SF5,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20251,20251,,EXCLUDED,NOT_APPLICABLE,0,Year excluded by project instruction,Not processed,Not processed,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20252,20252,,EXCLUDED,NOT_APPLICABLE,0,Year excluded by project instruction,Not processed,Not processed,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20253,20253,,EXCLUDED,NOT_APPLICABLE,0,Year excluded by project instruction,Not processed,Not processed,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20254,20254,,EXCLUDED,NOT_APPLICABLE,0,Year excluded by project instruction,Not processed,Not processed,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
