column_name,column_type,null,key,default,extra,variable_role,historical_track,hourly_los_policy
physician_race_proxy_black_white_mass,DOUBLE,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_proxy_prob_black_conditional_bw,DOUBLE,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_proxy_normalized_entropy,DOUBLE,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_last_match_flag,BOOLEAN,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_first_match_flag,BOOLEAN,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_middle_match_flag,BOOLEAN,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_name_match_pattern,VARCHAR,YES,,,,provider measurement,2005-2008 separate provider-v2,
phase1_surname_prob_white,DOUBLE,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
phase1_surname_prob_black,DOUBLE,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
phase1_surname_prob_hispanic,DOUBLE,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
phase1_surname_prob_asian_pi,DOUBLE,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
phase1_surname_prob_aian,DOUBLE,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
phase1_surname_prob_multiracial,DOUBLE,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
ami_icd9_anylisted_strict_flag,UTINYINT,YES,,,,AMI cohort definition,2005-2008 separate provider-v2,
ami_icd9_anylisted_broad_flag,UTINYINT,YES,,,,AMI cohort definition,2005-2008 separate provider-v2,
ami_icd9_principal_strict_flag,BOOLEAN,YES,,,,AMI cohort definition,2005-2008 separate provider-v2,
ami_icd9_principal_broad_flag,BOOLEAN,YES,,,,AMI cohort definition,2005-2008 separate provider-v2,
provider_race_bw_measurement_available_flag,BOOLEAN,YES,,,,eligibility/measurement flag,2005-2008 separate provider-v2,
provider_race_population_bw_measurement_available_flag,BOOLEAN,YES,,,,eligibility/measurement flag,2005-2008 separate provider-v2,
